Prefijo,CHL_Components,Modelos,Fenotipos,Heritability
PCSprout,C,RKHS,PCSprout.C,0.49390064074352
PCSprout,C,RKHS,PCSprout.C,0.517698292415525
PCSprout,C,RKHS,PCSprout.C,0.535617879158627
PCSprout,C,RKHS,PCSprout.C,0.605273061755926
PCSprout,C,RKHS,PCSprout.C,0.585430258279154
PCSprout,C,RKHS,PCSprout.C,0.492852866659962
PCSprout,C,RKHS,PCSprout.C,0.542311025936976
PCSprout,C,RKHS,PCSprout.C,0.564961091238122
PCSprout,C,RKHS,PCSprout.C,0.544718652326229
PCSprout,C,RKHS,PCSprout.C,0.612267694683612
PCSprout,C,RKHS,PCSprout.C,0.601928686568891
PCSprout,C,RKHS,PCSprout.C,0.593939020507923
PCSprout,C,RKHS,PCSprout.C,0.540292289038516
PCSprout,C,RKHS,PCSprout.C,0.538776140954496
PCSprout,C,RKHS,PCSprout.C,0.513007643258517
PCSprout,C,RKHS,PCSprout.C,0.591407236115018
PCSprout,C,RKHS,PCSprout.C,0.576274152253596
PCSprout,C,RKHS,PCSprout.C,0.601678468255385
PCSprout,C,RKHS,PCSprout.C,0.565245033440878
PCSprout,C,RKHS,PCSprout.C,0.527667081213888
PCSprout,C,RKHS,PCSprout.C,0.538719854306515
PCSprout,C,RKHS,PCSprout.C,0.476915731883559
PCSprout,C,RKHS,PCSprout.C,0.649549198072295
PCSprout,C,RKHS,PCSprout.C,0.691492138125471
PCSprout,C,RKHS,PCSprout.C,0.553454180572825
PCSprout,C,RKHS,PCSprout.C,0.574869942769778
PCSprout,C,RKHS,PCSprout.C,0.588451332959871
PCSprout,C,RKHS,PCSprout.C,0.562510364790367
PCSprout,C,RKHS,PCSprout.C,0.564416906250942
PCSprout,C,RKHS,PCSprout.C,0.526730416064754
PCSprout,C,RKHS,PCSprout.C,0.554707231798033
PCSprout,C,RKHS,PCSprout.C,0.46489372993251
PCSprout,C,RKHS,PCSprout.C,0.609909667153541
PCSprout,C,RKHS,PCSprout.C,0.562819725714306
PCSprout,C,RKHS,PCSprout.C,0.524555358234889
PCSprout,C,RKHS,PCSprout.C,0.480661165463085
PCSprout,C,RKHS,PCSprout.C,0.474494520130408
PCSprout,C,RKHS,PCSprout.C,0.543196315879243
PCSprout,C,RKHS,PCSprout.C,0.503839512001767
PCSprout,C,RKHS,PCSprout.C,0.612226202742261
PCSprout,C,RKHS,PCSprout.C,0.5309888410003
PCSprout,C,RKHS,PCSprout.C,0.673645012543641
PCSprout,C,RKHS,PCSprout.C,0.585445144427895
PCSprout,C,RKHS,PCSprout.C,0.574165263031585
PCSprout,C,RKHS,PCSprout.C,0.524211979792267
PCSprout,C,RKHS,PCSprout.C,0.679425593571291
PCSprout,C,RKHS,PCSprout.C,0.610866267694791
PCSprout,C,RKHS,PCSprout.C,0.517520967919705
PCSprout,C,RKHS,PCSprout.C,0.550717999239811
PCSprout,C,RKHS,PCSprout.C,0.570836584301357
PCSprout,C,RKHS,PCSprout.C,0.519043816107649
PCSprout,C,RKHS,PCSprout.C,0.553682761341974
PCSprout,C,RKHS,PCSprout.C,0.533341230905329
PCSprout,C,RKHS,PCSprout.C,0.442640471241699
PCSprout,C,RKHS,PCSprout.C,0.499186402693407
PCSprout,C,RKHS,PCSprout.C,0.565445618720383
PCSprout,C,RKHS,PCSprout.C,0.546596881162128
PCSprout,C,RKHS,PCSprout.C,0.538251967407201
PCSprout,C,RKHS,PCSprout.C,0.520590382454959
PCSprout,C,RKHS,PCSprout.C,0.557068406811078
PCSprout,C,RKHS,PCSprout.C,0.57058325846785
PCSprout,C,RKHS,PCSprout.C,0.52744894522427
PCSprout,C,RKHS,PCSprout.C,0.441894176875871
PCSprout,C,RKHS,PCSprout.C,0.530948035370195
PCSprout,C,RKHS,PCSprout.C,0.551839999536154
PCSprout,C,RKHS,PCSprout.C,0.548755059330403
PCSprout,C,RKHS,PCSprout.C,0.551657945240618
PCSprout,C,RKHS,PCSprout.C,0.52414465570354
PCSprout,C,RKHS,PCSprout.C,0.526433990504783
PCSprout,C,RKHS,PCSprout.C,0.48626067675268
PCSprout,C,RKHS,PCSprout.C,0.538966139134387
PCSprout,C,RKHS,PCSprout.C,0.527661060975883
PCSprout,C,RKHS,PCSprout.C,0.557211430086853
PCSprout,C,RKHS,PCSprout.C,0.592757494741619
PCSprout,C,RKHS,PCSprout.C,0.556539712792612
PCSprout,C,RKHS,PCSprout.C,0.601163306662446
PCSprout,C,RKHS,PCSprout.C,0.535983471675507
PCSprout,C,RKHS,PCSprout.C,0.534148421901629
